"","draw","R0_em","R0_ep","G_em","G_ep","lambda_em","lambda_ep","pRep_em","pRep_ep","La_em","La_ep","matlifexp_em","matlifexp_ep","meanelexp_em","meanelexp_ep","entropyd_em","entropyd_ep","entropyk_em","entropyk_ep","gini_em","gini_ep","firstrepro_em","firstrepro_ep","longevity_em","longevity_ep","species"
"1995",NA,0.13212817857814,0.204020568414524,2.50170953025037,3.2937933390552,0.445285388532321,0.617186051136906,0.0978297251994648,0.17862997262058,2,2,-0.881025209301653,-0.706554780455365,1.11897479069834,1.29344521954464,0.943312613048287,1.56136653488281,0.281388749126191,0.521451994451482,0,0,2.90714481287836,2.67080067185186,3,5,"FESU"
"1996",NA,0.0981760931195861,0.467645460360959,5.30790688140427,9.93772612619144,0.645796543571669,0.92637073873118,0.415021764099508,0.564034978453989,2,2,-0.0699608635284077,2.46581604319718,1.93003913647159,4.46581604319718,2.10081264784153,2.98361447590324,0.781258996730358,1.22629815402811,0,0,2.59030371553633,2.45065315109977,9,28,"FESU"
"1997",NA,0.120469410848531,0.2436704567242,2.80981622407317,5.4541469344006,0.470856418714039,0.771920035405743,0.186518678035501,0.387409666630506,2,2,-0.745957875105935,0.0824587820103684,1.25404212489406,2.08245878201037,1.26816472260709,2.32248715274216,0.431051123718498,0.915897496415867,0,0,2.88476421381912,2.54786889432413,4,11,"FESU"
"1998",NA,0.326605422752334,0.247647959837635,3.14665723478588,4.46771421176784,0.700741467261068,0.731683367042985,0.418412574185868,0.378925708180739,2,2,-0.143818688562246,-0.0283536389814723,1.85618131143775,1.97164636101853,1.70864786225988,2.10786542307409,0.696184667303804,0.836022332896366,0,0,2.42457028842635,2.34377511201814,7,9,"FESU"
"1999",NA,0.357634341809401,0.110619059701025,2.71327039394019,3.91059938199169,0.684567127027558,0.569498671126047,0.229158344212748,0.22622877963331,2,2,-0.676528050059356,-0.574934344784648,1.32347194994064,1.42506565521535,1.34222720161478,1.73972888016112,0.472161979993294,0.634847308583954,0,0,2.5143858941198,2.58945180718484,4,6,"FESU"
"2000",NA,0.586943494461725,0.292390270648178,5.15515160142948,4.50283349848089,0.901803970793401,0.761026485155031,0.444309042977351,0.360615592284088,2,2,0.0490362738112575,-0.0754570415999589,2.04903627381126,1.92454295840004,2.23303566916831,2.18966160078053,0.867806981576392,0.866266674763968,0,0,2.43074012841157,2.57032464129986,12,10,"FESU"
"2001",NA,0.0356225795538381,0.0326245730931998,2.15886436871623,2.98036119100223,0.213378069103421,0.317139249257031,0.123191541684315,0.224115852483762,2,2,-0.864610329214969,-0.684917681502405,1.13538967078503,1.3150823184976,0.687049653463257,1.34091292144131,0.268035762114312,0.468940744836122,0,0,1.69865368778974,1.87122723617695,2,4,"POAL"
"2002",NA,0.0292831290445682,0.0369928032393752,1.88337905017395,3.03659129150153,0.153403177447233,0.337642572766813,0.134455394298671,0.182776278853272,2,2,-0.841754147912617,-0.741942046572784,1.15824585208738,1.25805795342722,1.07946923089338,1.31419355751309,0.315741733056583,0.443817430858141,0,0,1.91240055954437,2.32230419920375,3,4,"POAL"
"2003",NA,0.0365116394389318,0.143179069107347,3.45869307659307,3.40258393475616,0.38402608942454,0.564830074222322,0.17306872113423,0.345604017692849,2,2,-0.773480175330737,-0.352272521379972,1.22651982466927,1.64772747862003,1.2931422893028,1.56304560611626,0.406241841450507,0.660591149651939,0,0,1.83133017529537,2.29924817167947,4,6,"POAL"
"2004",NA,0.0132299573056031,0.0400037020995224,2.8531037171292,3.31571147762718,0.21959108081414,0.378792393728264,0.0860047500722391,0.199876321027773,2,2,-0.904329573252078,-0.721132953516842,1.09567042674792,1.27886704648316,0.683014905830636,1.32760877427951,0.226708992476085,0.453679106713015,0,0,1.83765073395159,2.63953437967253,2,4,"POAL"
"2005",NA,0.0260736944191589,0.0443099670305546,3.94494615614916,2.90525988047125,0.396757327951398,0.342075005325474,0.176278841853711,0.226719650035473,2,2,-0.780398388837658,-0.697082833503388,1.21960161116234,1.30291716649661,1.28196390332024,1.30071920705633,0.387211374777657,0.449772869441037,0,0,2.06713335994174,1.97004474536173,4,4,"POAL"
"2006",NA,0.0848452393744638,0.0695760882316824,3.54120053205023,2.99906087950427,0.498258823683011,0.411180502179818,0.199577868767628,0.230674821681722,2,2,-0.692776847187197,-0.659808777033468,1.3072231528128,1.34019122296653,1.59877829148354,1.30342185392498,0.512715189852336,0.494274189607936,0,0,3.05627908862889,2.18460683493961,5,4,"POAL"
"2007",NA,0.030717410700344,0.0712269510462636,3.64530223231015,2.64098857964091,0.38463673430858,0.367754732867615,0.11065824363712,0.195389829993862,2,2,-0.862163829155913,-0.727839320182206,1.13783617084409,1.27216067981779,1.01076986927273,1.21562348842195,0.304119451506875,0.446048030503556,0,0,1.3567357205762,2.43395278187659,3,4,"POAL"
"2008",NA,0.039111679808009,0.106932603849592,1.97658582124206,3.00582681663319,0.194006208541076,0.475332387210393,0.0889611207447719,0.248283488229143,2,2,-0.901308539521942,-0.635538618678303,1.09869146047806,1.3644613813217,0.692874513671393,1.47074554217301,0.232538414861224,0.516667416420758,0,0,1.80165923989439,2.14018424189335,2,5,"POAL"
"2009",NA,0.0526186142364188,0.047918699651893,2.77208365624912,2.83091061238426,0.345672238571128,0.341898611290118,0.187839143496354,0.224657651281928,2,2,-0.75901087047076,-0.698908853100363,1.24098912952924,1.30109114689964,1.3496788613352,1.29984817262969,0.408283132059496,0.449729284440574,0,0,2.00681640085797,2.4030122877852,4,4,"POAL"
"2010",NA,0.0326642812134079,0.0360929602966722,1.78711305120483,2.57430434639195,0.147411795225473,0.275184735783752,0.143421969861957,0.155584436621933,2,2,-0.843971203329986,-0.798684102901577,1.15602879667001,1.20131589709843,0.981299798751395,0.89262188500204,0.291479883833256,0.372295224668002,0,0,2.05984612072786,2.24906813005756,3,3,"POAL"
"2011",NA,0.0249767958795805,0.0954805450104626,2.59620985330437,4.25324657931766,0.241417196415233,0.575656198718568,0.1375529412223,0.405135602785574,2,2,-0.835108748868051,-0.171811881170108,1.16489125113195,1.82818811882989,1.0445152507643,1.81702851218867,0.326632860557832,0.718340487632484,0,0,1.62346758848776,1.93707794389098,3,7,"POAL"
